NewsId,Agency
test-145,LTN
test-1450,CTS
test-1451,CTS
test-1452,LTN
test-1453,LTN
test-1454,LTN
test-1455,CTS
test-1456,LTN
test-1457,CTS
test-1458,LTN
test-1459,LTN
test-146,APD
test-1460,LTN
test-1461,CTS
test-1462,CTS
test-1463,LTN
test-1464,LTN
test-1465,LTN
test-1466,CTS
test-1467,LTN
test-1468,LTN
test-1469,LTN
test-147,LTN
test-1470,LTN
test-1471,CTS
test-1472,LTN
test-1473,LTN
test-1474,CTS
test-1475,LTN
test-1476,LTN
test-1477,CTS
test-1478,LTN
test-1479,CTS
test-148,CTS
test-1480,CTS
test-1481,LTN
test-1482,LTN
test-1483,LTN
test-1484,APD
test-1485,LTN
test-1486,CTS
test-1487,LTN
test-1488,LTN
test-1489,LTN
test-149,LTN
test-1490,CTS
test-1491,LTN
test-1492,LTN
test-1493,CTS
test-1494,LTN
test-1495,LTN
test-1496,CTS
test-1497,CTS
test-1498,LTN
test-1499,LTN
test-15,CTS
test-150,LTN
test-1500,LTN
test-1501,APD
test-1502,LTN
test-1503,APD
test-1504,LTN
test-1505,LTN
test-1506,LTN
test-1507,CTS
test-1508,LTN
test-1509,LTN
test-151,LTN
test-1510,LTN
test-1511,LTN
test-1512,LTN
test-1513,CTS
test-1514,LTN
test-1515,CTS
test-1516,LTN
test-1517,LTN
test-1518,LTN
test-1519,CTS
test-152,LTN
test-1520,CTS
test-1521,LTN
test-1522,LTN
test-1523,APD
test-1524,LTN
test-1525,LTN
test-1526,LTN
test-1527,LTN
test-1528,LTN
test-1529,LTN
test-153,LTN
test-1530,CTS
test-1531,LTN
test-1532,LTN
test-1533,CTS
test-1534,APD
test-1535,LTN
test-1536,LTN
test-1537,CTS
test-1538,APD
test-1539,LTN
test-154,CTS
test-1540,LTN
test-1541,LTN
test-1542,CTS
test-1543,CTS
test-1544,LTN
test-1545,LTN
test-1546,LTN
test-1547,CTS
test-1548,APD
test-1549,CTS
test-155,APD
test-1550,CTS
test-1551,CTS
test-1552,LTN
test-1553,LTN
test-1554,APD
test-1555,LTN
test-1556,LTN
test-1557,LTN
test-1558,LTN
test-1559,LTN
test-156,CTS
test-1560,LTN
test-1561,LTN
test-1562,APD
test-1563,CTS
test-1564,APD
test-1565,LTN
test-1566,APD
test-1567,LTN
test-1568,LTN
test-1569,LTN
test-157,LTN
test-1570,CTS
test-1571,LTN
test-1572,CTS
test-1573,APD
test-1574,CTS
test-1575,CTS
test-1576,APD
test-1577,CTS
test-1578,APD
test-1579,CTS
test-158,LTN
test-1580,CTS
test-1581,LTN
test-1582,CTS
test-1583,LTN
test-1584,LTN
test-1585,CTS
test-1586,LTN
test-1587,CTS
test-1588,CTS
test-1589,LTN
test-159,CTS
test-1590,APD
test-1591,LTN
test-1592,CTS
test-1593,LTN
test-1594,LTN
test-1595,LTN
test-1596,LTN
test-1597,CTS
test-1598,LTN
test-1599,LTN
test-16,LTN
test-160,LTN
test-1600,LTN
test-1601,APD
test-1602,CTS
test-1603,CTS
test-1604,LTN
test-1605,LTN
test-1606,LTN
test-1607,CTS
test-1608,LTN
test-1609,CTS
test-161,LTN
test-1610,LTN
test-1611,LTN
test-1612,LTN
test-1613,CTS
test-1614,CTS
test-1615,LTN
test-1616,CTS
test-1617,CTS
test-1618,LTN
test-1619,LTN
test-162,LTN
test-1620,CTS
test-1621,CTS
test-1622,LTN
test-1623,LTN
test-1624,APD
test-1625,LTN
test-1626,APD
test-1627,CTS
test-1628,APD
test-1629,LTN
test-163,LTN
test-1630,LTN
test-1631,LTN
test-1632,CTS
test-1633,CTS
test-1634,CTS
test-1635,CTS
test-1636,LTN
test-1637,LTN
test-1638,CTS
test-1639,CTS
test-164,LTN
test-1640,LTN
test-1641,LTN
test-1642,LTN
test-1643,LTN
test-1644,CTS
test-1645,LTN
test-1646,CTS
test-1647,LTN
test-1648,CTS
test-1649,CTS
test-165,APD
test-1650,LTN
test-1651,LTN
test-1652,LTN
test-1653,LTN
test-1654,LTN
test-1655,LTN
test-1656,CTS
test-1657,LTN
test-1658,LTN
test-1659,CTS
test-166,CTS
test-1660,CTS
test-1661,CTS
test-1662,CTS
test-1663,LTN
test-1664,APD
test-1665,CTS
test-1666,APD
test-1667,CTS
test-1668,LTN
test-1669,APD
test-167,LTN
test-1670,CTS
test-1671,LTN
test-1672,LTN
test-1673,CTS
test-1674,LTN
test-1675,LTN
test-1676,LTN
test-1677,APD
test-1678,LTN
test-1679,LTN
test-168,LTN
test-1680,LTN
test-1681,LTN
test-1682,LTN
test-1683,LTN
test-1684,CTS
test-1685,LTN
test-1686,APD
test-1687,LTN
test-1688,CTS
test-1689,LTN
test-169,LTN
test-1690,LTN
test-1691,LTN
test-1692,LTN
test-1693,LTN
test-1694,CTS
test-1695,CTS
test-1696,LTN
test-1697,LTN
test-1698,LTN
test-1699,CTS
test-17,CTS
test-170,CTS
test-1700,LTN
test-1701,CTS
test-1702,LTN
test-1703,LTN
test-1704,LTN
test-1705,LTN
test-1706,CTS
test-1707,CTS
test-1708,LTN
test-1709,LTN
test-171,CTS
test-1710,LTN
test-1711,CTS
test-1712,LTN
test-1713,CTS
test-1714,LTN
test-1715,LTN
test-1716,LTN
test-1717,CTS
test-1718,LTN
test-1719,LTN
test-172,APD
test-1720,LTN
test-1721,LTN
test-1722,LTN
test-1723,LTN
test-1724,CTS
test-1725,APD
test-1726,CTS
test-1727,CTS
test-1728,LTN
test-1729,LTN
test-173,LTN
test-1730,LTN
test-1731,LTN
test-1732,LTN
test-1733,LTN
test-1734,LTN
test-1735,LTN
test-1736,LTN
test-1737,LTN
test-1738,CTS
test-1739,APD
test-174,LTN
test-1740,LTN
test-1741,LTN
test-1742,APD
test-1743,CTS
test-1744,LTN
test-1745,APD
test-1746,APD
test-1747,APD
test-1748,CTS
test-1749,APD
test-175,CTS
test-1750,CTS
test-1751,LTN
test-1752,CTS
test-1753,CTS
test-1754,LTN
test-1755,CTS
test-1756,LTN
test-1757,CTS
test-1758,LTN
test-1759,LTN
test-176,CTS
test-1760,APD
test-1761,LTN
test-1762,CTS
test-1763,LTN
test-1764,LTN
test-1765,LTN
test-1766,LTN
test-1767,CTS
test-1768,CTS
test-1769,LTN
test-177,LTN
test-1770,LTN
test-1771,CTS
test-1772,LTN
test-1773,CTS
test-1774,LTN
test-1775,CTS
test-1776,LTN
test-1777,LTN
test-1778,LTN
test-1779,LTN
test-178,CTS
test-1780,LTN
test-1781,CTS
test-1782,LTN
test-1783,LTN
test-1784,APD
test-1785,LTN
test-1786,LTN
test-1787,LTN
test-1788,LTN
test-1789,LTN
test-179,LTN
test-1790,CTS
test-1791,LTN
test-1792,CTS
test-1793,CTS
test-1794,CTS
test-1795,LTN
test-1796,CTS
test-1797,CTS
test-1798,CTS
test-1799,CTS
test-18,LTN
test-180,CTS
test-1800,CTS
test-1801,CTS
test-1802,CTS
test-1803,LTN
test-1804,LTN
test-1805,LTN
test-181,CTS
test-182,CTS
test-183,CTS
test-184,CTS
test-185,CTS
test-186,LTN
test-187,LTN
test-188,CTS
test-189,LTN
test-19,LTN
test-190,CTS
test-191,LTN
test-192,CTS
test-193,CTS
test-194,CTS
test-195,LTN
test-196,LTN
test-197,LTN
test-198,LTN
test-199,CTS
test-2,LTN
test-20,LTN
test-200,CTS
test-201,LTN
test-202,LTN
test-203,APD
test-204,LTN
test-205,CTS
test-206,APD
test-207,LTN
test-208,LTN
test-209,CTS
test-21,LTN
test-210,LTN
test-211,APD
test-212,CTS
test-213,CTS
test-214,LTN
test-215,LTN
test-216,LTN
test-217,LTN
test-218,LTN
test-219,CTS
test-22,LTN
test-220,LTN
test-221,CTS
test-222,LTN
test-223,CTS
test-224,LTN
test-225,LTN
test-226,LTN
test-227,APD
test-228,LTN
test-229,CTS
test-23,LTN
test-230,LTN
test-231,LTN
test-232,CTS
test-233,CTS
test-234,CTS
test-235,LTN
test-236,LTN
test-237,CTS
test-238,CTS
test-239,LTN
test-24,LTN
test-240,CTS
test-241,CTS
test-242,APD
test-243,LTN
test-244,LTN
test-245,LTN
test-246,LTN
test-247,CTS
test-248,CTS
test-249,CTS
test-25,LTN
test-250,APD
test-251,LTN
test-252,CTS
test-253,LTN
test-254,CTS
test-255,LTN
test-256,LTN
test-257,LTN
test-258,LTN
test-259,APD
test-26,LTN
test-260,LTN
test-261,LTN
test-262,LTN
test-263,LTN
test-264,LTN
test-265,CTS
test-266,APD
test-267,CTS
test-268,CTS
test-269,CTS
test-27,LTN
test-270,LTN
test-271,APD
test-272,CTS
test-273,APD
test-274,LTN
test-275,CTS
test-276,LTN
test-277,LTN
test-278,LTN
test-279,CTS
test-28,LTN
test-280,LTN
test-281,CTS
test-282,LTN
test-283,CTS
test-284,LTN
test-285,LTN
test-286,CTS
test-287,CTS
test-288,LTN
test-289,LTN
test-29,LTN
test-290,CTS
test-291,LTN
test-292,LTN
test-293,LTN
test-294,CTS
test-295,LTN
test-296,CTS
test-297,CTS
test-298,CTS
test-299,LTN
test-3,CTS
test-30,CTS
test-300,LTN
test-301,LTN
test-302,CTS
test-303,CTS
test-304,LTN
test-305,CTS
test-306,CTS
test-307,CTS
test-308,LTN
test-309,CTS
test-31,LTN
test-310,LTN
test-311,LTN
test-312,LTN
test-313,CTS
test-314,CTS
test-315,CTS
test-316,CTS
test-317,CTS
test-318,CTS
test-319,CTS
test-32,LTN
test-320,LTN
test-321,LTN
test-322,CTS
test-323,LTN
test-324,LTN
test-325,APD
test-326,LTN
test-327,LTN
test-328,CTS
test-329,CTS
test-33,LTN
test-330,CTS
test-331,LTN
test-332,LTN
test-333,LTN
test-334,CTS
test-335,LTN
test-336,LTN
test-337,CTS
test-338,LTN
test-339,APD
test-34,CTS
test-340,LTN
test-341,LTN
test-342,CTS
test-343,CTS
test-344,LTN
test-345,LTN
test-346,CTS
test-347,CTS
test-348,CTS
test-349,CTS
test-35,CTS
test-350,LTN
test-351,CTS
test-352,LTN
test-353,LTN
test-354,CTS
test-355,CTS
test-356,CTS
test-357,LTN
test-358,CTS
test-359,LTN
test-36,APD
test-360,LTN
test-361,LTN
test-362,LTN
test-363,CTS
test-364,CTS
test-365,LTN
test-366,LTN
test-367,LTN
test-368,LTN
test-369,CTS
test-37,CTS
test-370,CTS
test-371,APD
test-372,CTS
test-373,LTN
test-374,LTN
test-375,CTS
test-376,CTS
test-377,LTN
test-378,LTN
test-379,CTS
test-38,CTS
test-380,CTS
test-381,CTS
test-382,LTN
test-383,APD
test-384,LTN
test-385,CTS
test-386,LTN
test-387,CTS
test-388,CTS
test-389,CTS
test-39,APD
test-390,APD
test-391,CTS
test-392,LTN
test-393,LTN
test-394,CTS
test-395,CTS
test-396,LTN
test-397,CTS
test-398,LTN
test-399,LTN
test-4,LTN
test-40,LTN
test-400,LTN
test-401,CTS
test-402,APD
test-403,CTS
test-404,LTN
test-405,LTN
test-406,CTS
test-407,CTS
test-408,CTS
test-409,CTS
test-41,LTN
test-410,CTS
test-411,LTN
test-412,LTN
test-413,LTN
test-414,CTS
test-415,CTS
test-416,CTS
test-417,LTN
test-418,CTS
test-419,CTS
test-42,CTS
test-420,LTN
test-421,CTS
test-422,LTN
test-423,LTN
test-424,CTS
test-425,CTS
test-426,LTN
test-427,CTS
test-428,CTS
test-429,CTS
test-43,CTS
test-430,CTS
test-431,CTS
test-432,LTN
test-433,CTS
test-434,LTN
test-435,LTN
test-436,CTS
test-437,LTN
test-438,LTN
test-439,LTN
test-44,LTN
test-440,LTN
test-441,LTN
test-442,APD
test-443,CTS
test-444,LTN
test-445,LTN
test-446,LTN
test-447,LTN
test-448,CTS
test-449,CTS
test-45,APD
test-450,LTN
test-451,LTN
test-452,LTN
test-453,APD
test-454,LTN
test-455,LTN
test-456,CTS
test-457,CTS
test-458,LTN
test-459,CTS
test-46,CTS
test-460,CTS
test-461,LTN
test-462,LTN
test-463,LTN
test-464,CTS
test-465,CTS
test-466,CTS
test-467,LTN
test-468,CTS
test-469,LTN
test-47,APD
test-470,LTN
test-471,CTS
test-472,LTN
test-473,LTN
test-474,LTN
test-475,LTN
test-476,APD
test-477,CTS
test-478,LTN
test-479,LTN
test-48,CTS
test-480,CTS
test-481,CTS
test-482,LTN
test-483,LTN
test-484,LTN
test-485,LTN
test-486,CTS
test-487,CTS
test-488,CTS
test-489,LTN
test-49,CTS
test-490,CTS
test-491,CTS
test-492,LTN
test-493,LTN
test-494,CTS
test-495,LTN
test-496,APD
test-497,CTS
test-498,CTS
test-499,LTN
test-5,LTN
test-50,CTS
test-500,LTN
test-501,LTN
test-502,CTS
test-503,LTN
test-504,CTS
test-505,CTS
test-506,LTN
test-507,APD
test-508,CTS
test-509,CTS
test-51,CTS
test-510,LTN
test-511,APD
test-512,LTN
test-513,LTN
test-514,LTN
test-515,CTS
test-516,LTN
test-517,APD
test-518,CTS
test-519,LTN
test-52,LTN
test-520,LTN
test-521,CTS
test-522,LTN
test-523,CTS
test-524,LTN
test-525,LTN
test-526,LTN
test-527,CTS
test-528,APD
test-529,CTS
test-53,CTS
test-530,LTN
test-531,APD
test-532,CTS
test-533,CTS
test-534,LTN
test-535,CTS
test-536,LTN
test-537,LTN
test-538,LTN
test-539,LTN
test-54,APD
test-540,LTN
test-541,LTN
test-542,LTN
test-543,CTS
test-544,LTN
test-545,LTN
test-546,CTS
test-547,LTN
test-548,CTS
test-549,LTN
test-55,CTS
test-550,LTN
test-551,CTS
test-552,LTN
test-553,LTN
test-554,LTN
test-555,LTN
test-556,LTN
test-557,LTN
test-558,LTN
test-559,LTN
test-56,LTN
test-560,LTN
test-561,CTS
test-562,LTN
test-563,CTS
test-564,LTN
test-565,CTS
test-566,CTS
test-567,LTN
test-568,LTN
test-569,CTS
test-57,LTN
test-570,LTN
test-571,LTN
test-572,LTN
test-573,LTN
test-574,APD
test-575,CTS
test-576,LTN
test-577,LTN
test-578,LTN
test-579,LTN
test-58,LTN
test-580,CTS
test-581,CTS
test-582,LTN
test-583,LTN
test-584,CTS
test-585,CTS
test-586,CTS
test-587,CTS
test-588,LTN
test-589,LTN
test-59,APD
test-590,LTN
test-591,LTN
test-592,APD
test-593,CTS
test-594,CTS
test-595,CTS
test-596,LTN
test-597,CTS
test-598,CTS
test-599,LTN
test-6,LTN
test-60,LTN
test-600,LTN
test-601,LTN
test-602,LTN
test-603,LTN
test-604,LTN
test-605,LTN
test-606,LTN
test-607,LTN
test-608,LTN
test-609,LTN
test-61,CTS
test-610,LTN
test-611,LTN
test-612,LTN
test-613,LTN
test-614,LTN
test-615,LTN
test-616,CTS
test-617,LTN
test-618,LTN
test-619,LTN
test-62,LTN
test-620,LTN
test-621,LTN
test-622,LTN
test-623,CTS
test-624,APD
test-625,CTS
test-626,LTN
test-627,LTN
test-628,LTN
test-629,CTS
test-63,LTN
test-630,CTS
test-631,LTN
test-632,CTS
test-633,CTS
test-634,LTN
test-635,CTS
test-636,LTN
test-637,CTS
test-638,CTS
test-639,LTN
test-64,CTS
test-640,CTS
test-641,LTN
test-642,CTS
test-643,LTN
test-644,LTN
test-645,LTN
test-646,LTN
test-647,LTN
test-648,APD
test-649,CTS
test-65,LTN
test-650,LTN
test-651,LTN
test-652,CTS
test-653,LTN
test-654,LTN
test-655,CTS
test-656,CTS
test-657,LTN
test-658,CTS
test-659,LTN
test-66,CTS
test-660,CTS
test-661,CTS
test-662,CTS
test-663,CTS
test-664,LTN
test-665,LTN
test-666,LTN
test-667,APD
test-668,CTS
test-669,CTS
test-67,LTN
test-670,CTS
test-671,LTN
test-672,LTN
test-673,LTN
test-674,LTN
test-675,APD
test-676,CTS
test-677,CTS
test-678,LTN
test-679,CTS
test-68,CTS
test-680,LTN
test-681,CTS
test-682,CTS
test-683,CTS
test-684,LTN
test-685,CTS
test-686,APD
test-687,LTN
test-688,LTN
test-689,LTN
test-69,LTN
test-690,LTN
test-691,APD
test-692,LTN
test-693,LTN
test-694,LTN
test-695,CTS
test-696,LTN
test-697,LTN
test-698,CTS
test-699,LTN
test-7,LTN
test-70,LTN
test-700,LTN
test-701,LTN
test-702,LTN
test-703,LTN
test-704,LTN
test-705,LTN
test-706,LTN
test-707,LTN
test-708,LTN
test-709,CTS
test-71,LTN
test-710,CTS
test-711,LTN
test-712,LTN
test-713,APD
test-714,LTN
test-715,LTN
test-716,LTN
test-717,LTN
test-718,LTN
test-719,LTN
test-72,LTN
test-720,APD
test-721,LTN
test-722,CTS
test-723,LTN
test-724,LTN
test-725,LTN
test-726,CTS
test-727,CTS
test-728,LTN
test-729,CTS
test-73,CTS
test-730,CTS
test-731,CTS
test-732,LTN
test-733,LTN
test-734,LTN
test-735,CTS
test-736,LTN
test-737,LTN
test-738,LTN
test-739,LTN
test-74,APD
test-740,LTN
test-741,CTS
test-742,LTN
test-743,LTN
test-744,LTN
test-745,APD
test-746,CTS
test-747,LTN
test-748,LTN
test-749,CTS
test-75,CTS
test-750,LTN
test-751,LTN
test-752,LTN
test-753,CTS
test-754,CTS
test-755,LTN
test-756,CTS
test-757,LTN
test-758,LTN
test-759,LTN
test-76,LTN
test-760,LTN
test-761,LTN
test-762,CTS
test-763,CTS
test-764,LTN
test-765,CTS
test-766,CTS
test-767,LTN
test-768,APD
test-769,LTN
test-77,LTN
test-770,LTN
test-771,CTS
test-772,LTN
test-773,APD
test-774,CTS
test-775,CTS
test-776,LTN
test-777,CTS
test-778,LTN
test-779,CTS
test-78,LTN
test-780,LTN
test-781,CTS
test-782,LTN
test-783,LTN
test-784,LTN
test-785,LTN
test-786,LTN
test-787,CTS
test-788,CTS
test-789,LTN
test-79,LTN
test-790,CTS
test-791,CTS
test-792,CTS
test-793,CTS
test-794,LTN
test-795,LTN
test-796,LTN
test-797,CTS
test-798,LTN
test-799,CTS
test-8,LTN
test-80,CTS
test-800,LTN
test-801,CTS
test-802,LTN
test-803,APD
test-804,LTN
test-805,LTN
test-806,CTS
test-807,LTN
test-808,LTN
test-809,CTS
test-81,LTN
test-810,CTS
test-811,LTN
test-812,LTN
test-813,CTS
test-814,CTS
test-815,LTN
test-816,LTN
test-817,CTS
test-818,LTN
test-819,CTS
test-82,CTS
test-820,CTS
test-821,LTN
test-822,CTS
test-823,CTS
test-824,LTN
test-825,LTN
test-826,CTS
test-827,LTN
test-828,CTS
test-829,APD
test-83,LTN
test-830,LTN
test-831,CTS
test-832,CTS
test-833,CTS
test-834,LTN
test-835,CTS
test-836,CTS
test-837,APD
test-838,LTN
test-839,APD
test-84,LTN
test-840,LTN
test-841,CTS
test-842,CTS
test-843,LTN
test-844,CTS
test-845,LTN
test-846,LTN
test-847,CTS
test-848,LTN
test-849,LTN
test-85,LTN
test-850,CTS
test-851,LTN
test-852,APD
test-853,LTN
test-854,LTN
test-855,CTS
test-856,LTN
test-857,LTN
test-858,LTN
test-859,CTS
test-86,LTN
test-860,LTN
test-861,APD
test-862,CTS
test-863,LTN
test-864,CTS
test-865,CTS
test-866,LTN
test-867,LTN
test-868,LTN
test-869,LTN
